
Dem-06-4747-13552-Oto10.tif  --- Object 1
Year	Width
2004 	 1290.7257
2005 	 1792.138
2006 	 533.2347

Dem-06-4747-13552-Oto11.tif  --- Object 2
Year	Width
2001 	 370.9677
2002 	 516.381
2003 	 758.2361
2004 	 774.3615
2005 	 806.6129
2006 	 322.9836

Dem-06-4747-13552-Oto12.tif  --- Object 3
Year	Width
2004 	 709.8607
2005 	 354.8387
2006 	 1000.13

Dem-06-4747-13552-Oto13.tif  --- Object 4
Year	Width
2004 	 1080.6451
2005 	 613.7515
2006 	 1018.1751

Dem-06-4747-13552-Oto15.tif  --- Object 5
Year	Width
2004 	 564.7465
2005 	 565.437
2006 	 436.677

Dem-06-4747-13552-Oto16.tif  --- Object 6
Year	Width
2003 	 1146.9772
2004 	 905.527
2005 	 727.4176
2006 	 532.2581

Dem-06-4747-13552-Oto17.tif  --- Object 7
Year	Width
2003 	 483.871
2004 	 596.9921
2005 	 1048.5111
2006 	 532.2581

Dem-06-4747-13552-Oto20.tif  --- Object 8
Year	Width
2004 	 1129.1474
2005 	 1661.6035
2006 	 1000.5201

Dem-06-4747-13552-Oto26.tif  --- Object 9
Year	Width
2001 	 370.9677
2002 	 419.3548
2003 	 919.4963
2004 	 597.6454
2005 	 1016.257
2006 	 260.0728

Dem-06-4747-13552-Oto4.tif  --- Object 10
Year	Width
2002 	 1500.0867
2003 	 741.9355
2004 	 322.9836
2005 	 403.5483
2006 	 451.6129

Dem-06-4747-13552-Oto5.tif  --- Object 11
Year	Width
2002 	 1000.13
2003 	 1162.2979
2004 	 774.8653
2005 	 661.487
2006 	 435.7824

Dem-06-4747-13552-Oto7.tif  --- Object 12
Year	Width
2004 	 1338.8068
2005 	 2145.4038
2006 	 1146.1831

Dem-06-4747-13552-Oto8.tif  --- Object 13
Year	Width
2002 	 645.3629
2003 	 1000.5201
2004 	 1179.1856
2005 	 451.9008
2006 	 145.1613

Dem-06-4747-13552-Oto9.tif  --- Object 14
Year	Width
2002 	 1032.258
2003 	 1258.9947
2004 	 646.9733
2005 	 387.0968
2006 	 194.2193

Dem-07-5918-16435-Oto1.tif  --- Object 15
Year	Width
2001 	 1161.2903
2002 	 225.8064
2003 	 483.871
2004 	 661.2903
2005 	 451.6129
2006 	 338.7097
2007 	 338.7097

Dem-07-5918-16435-Oto10.tif  --- Object 16
Year	Width
2002 	 613.1154
2003 	 1226.2308
2004 	 532.2581
2005 	 468.0199
2006 	 677.6113
2007 	 354.8387

Dem-07-5918-16435-Oto11.tif  --- Object 17
Year	Width
2001 	 596.7742
2002 	 1032.258
2003 	 564.5161
2004 	 484.1397
2005 	 322.5806
2006 	 419.3548
2007 	 290.3226

Dem-07-5918-16435-Oto12.tif  --- Object 18
Year	Width
2002 	 1129.1474
2003 	 935.6229
2004 	 629.8588
2005 	 709.8607
2006 	 420.5937
2007 	 209.6774

Dem-07-5918-16435-Oto13.tif  --- Object 19
Year	Width
2000 	 854.9908
2001 	 1032.258
2002 	 1161.4023
