
D196 223- 21.02.96-Oto11.tif  --- Object 1
Year	Width
1992 	 710.4102
1993 	 629.0322
1994 	 1081.7279
1995 	 1371.0626
1996 	 322.5806

D196 223- 21.02.96-Oto12.tif  --- Object 2
Year	Width
1993 	 838.7097
1994 	 1258.0645
1995 	 1613.6288
1996 	 1403.3185

D196 223- 21.02.96-Oto13.tif  --- Object 3
Year	Width
1992 	 1177.5298
1993 	 1226.2308
1994 	 1017.2804
1995 	 422.1372
1996 	 306.4516

D196 223- 21.02.96-Oto14.tif  --- Object 4
Year	Width
1992 	 1177.5298
1993 	 1533.6157
1994 	 1518.2723
1995 	 645.3629
1996 	 419.6649

D196 223- 21.02.96-Oto15.tif  --- Object 5
Year	Width
1993 	 1064.6383
1994 	 1210.1074
1995 	 903.3698
1996 	 1050.3703

D196 223- 21.02.96-Oto16.tif  --- Object 6
Year	Width
1992 	 935.4839
1993 	 839.3298
1994 	 597.6454
1995 	 613.7515
1996 	 452.7635

D196 223- 21.02.96-Oto2.tif  --- Object 7
Year	Width
1992 	 419.3548
1993 	 887.2434
1994 	 1371.3472
1995 	 1306.8498
1996 	 903.2258

D196 223- 21.02.96-Oto3.tif  --- Object 8
Year	Width
1992 	 1145.1613
1993 	 290.3226
1994 	 742.1108
1995 	 1129.493
1996 	 678.187

D196 223- 21.02.96-Oto4.tif  --- Object 9
Year	Width
1990 	 1081.7279
1991 	 985.0601
1992 	 903.8016
1993 	 952.8423
1994 	 629.8588
1995 	 451.9008
1996 	 372.3676

D196 223- 21.02.96-Oto5.tif  --- Object 10
Year	Width
1993 	 1113.3706
1994 	 501.0395
1995 	 1113.0201
1996 	 1146.9772

D196 223- 21.02.96-Oto6.tif  --- Object 11
Year	Width
1993 	 629.0322
1994 	 1467.7419
1995 	 1758.7302
1996 	 871.5649

D196 223- 21.02.96-Oto7.tif  --- Object 12
Year	Width
1992 	 1080.7655
1993 	 483.871
1994 	 517.1361
1995 	 758.2361
1996 	 371.3182

D196 223- 21.02.96-Oto9.tif  --- Object 13
Year	Width
1990 	 484.1397
1991 	 1097.841
1992 	 870.9677
1993 	 903.3698
1994 	 225.8064
1995 	 322.5806
1996 	 274.1935

D2 769-OP-11.11.98-Oto19.tif  --- Object 14
Year	Width
1996 	 725.8064
1997 	 1467.7419
1998 	 1209.7849

D2 769-OP-11.11.98-Oto3.tif  --- Object 15
Year	Width
1996 	 790.9806
1997 	 1435.5745
1998 	 1177.8611

